2025-12-24,8,2
2025-12-24,40,2
2025-12-24,20,7
2025-12-24,205,0
2025-12-24,140,0
2025-12-24,77,0
2025-12-24,5,0
2025-12-24,226,0
2025-12-24,9,0
2025-12-24,23,17
2025-12-24,34,31
2025-12-24,7,1
2025-12-23,1,1
2025-12-23,10,1
2025-12-23,1,1
2025-12-23,11,0
2025-12-23,8,20
2025-12-23,9,1
2025-12-23,8,0
2025-12-23,22,0
2025-12-23,28,3
2025-12-23,10,1
2025-12-23,58,20
2025-12-23,2,0
2025-12-23,13,0
2025-12-23,60,39
2025-12-23,6,6
2025-12-23,10,2
2025-12-23,167,4
2025-12-23,9,0
2025-12-23,37,0
2025-12-23,87,0
2025-12-23,2,1
2025-12-23,14,5
2025-12-23,62,0
2025-12-23,2,0
2025-12-23,1,2
2025-12-23,3,1
2025-12-23,21,2
2025-12-23,96,0
2025-12-23,239,0
2025-12-23,106,0
2025-12-23,12,5
2025-12-23,43,0
2025-12-23,43,0
2025-12-23,4,0
2025-12-23,9,0
2025-12-23,10,0
2025-12-23,9,0
2025-12-23,25,0
2025-12-23,2,1
2025-12-23,58,13
2025-12-23,144,0
2025-12-23,62,0
2025-12-23,31,0
2025-12-23,23,0
2025-12-23,2,2
2025-12-23,17,0
2025-12-23,7,0
2025-12-23,20,0
2025-12-23,2,3
2025-12-23,14,0
2025-12-23,20,0
2025-12-23,20,0
2025-12-23,18,0
2025-12-23,165,0
2025-12-23,159,0
2025-12-23,14,0
2025-12-23,19,2
2025-12-23,27,0
2025-12-23,324,0
2025-12-23,92,0
2025-12-23,63,0
2025-12-23,17,1
2025-12-23,32,0
2025-12-23,243,0
2025-12-23,10,1
2025-12-23,11,0
2025-12-23,29,0
2025-12-23,31,0
2025-12-23,601,0
2025-12-23,16,5
2025-12-23,6,0
2025-12-23,248,21
2025-12-23,5,0
2025-12-23,8,0
2025-12-23,18,0
2025-12-23,11,0
2025-12-23,3,0
2025-12-23,6,0
2025-12-23,3,0
2025-12-23,68,0
2025-12-23,2,0
2025-12-23,6,0
2025-12-23,38,0
2025-12-23,19,0
2025-12-23,20,0
2025-12-23,7,0
2025-12-23,46,0
2025-12-23,6,0
2025-12-23,23,2
2025-12-23,10,0
2025-12-23,130,2
2025-12-23,1,0
2025-12-23,26,3
2025-12-23,20,0
2025-12-23,28,0
2025-12-23,25,0
2025-12-23,28,0
2025-12-23,49,0
2025-12-23,17,0
2025-12-23,23,0
2025-12-23,164,0
2025-12-23,64,0
2025-12-23,5,0
2025-12-23,1,1
2025-12-23,1,1
2025-12-23,6,4
2025-12-23,61,0
2025-12-23,19,0
2025-12-23,19,0
2025-12-21,6,0
2025-12-21,34,0
2025-12-21,15,0
2025-12-21,14,0
2025-12-21,115,0
2025-12-21,7,0
2025-12-21,12,0
2025-12-21,12,0
2025-12-21,6,0
2025-12-21,13,0
2025-12-21,20,1
2025-12-21,90,0
2025-12-23,0,3
2025-12-23,0,18
2025-12-23,0,8
2025-12-23,0,32
2025-12-23,0,2
2025-12-23,0,34
2025-12-23,2,4
2025-12-23,0,24
2025-12-23,1,0
2025-12-23,1,10
2025-12-23,3,6
2025-12-23,1,1
2025-12-23,2,2
2025-12-23,0,15
2025-12-23,0,6
2025-12-23,0,14
2025-12-23,0,117
2025-12-23,0,2
2025-12-23,0,14
