DOC0007,TITLE003,在职,CLIN013,,,DEP013
DOC0008,TITLE004,在职,CLIN013,,,DEP013
DOC0009,TITLE004,在职,CLIN021,,,DEP021
DOC0010,TITLE001,在职,CLIN022,,,DEP022
DOC0011,TITLE004,在职,CLIN010,,,DEP010
DOC0012,TITLE004,在职,CLIN011,,,DEP011
DOC0013,TITLE004,在职,CLIN020,,,DEP020
DOC0014,TITLE003,在职,CLIN010,,,DEP010
DOC0015,TITLE003,在职,CLIN011,,,DEP011
DOC0016,TITLE001,在职,CLIN016,,,DEP016
DOC0017,TITLE003,在职,CLIN012,,,DEP012
DOC0018,TITLE003,在职,CLIN010,,,DEP010
DOC0019,TITLE004,在职,CLIN011,,,DEP011
DOC0020,TITLE001,在职,CLIN010,,,DEP010
DOC0021,TITLE003,在职,CLIN021,,,DEP021
DOC0022,TITLE003,在职,CLIN018,,,DEP018
DOC0023,TITLE003,在职,CLIN007,,,DEP005
DOC0024,TITLE003,在职,CLIN011,,,DEP011
DOC0025,TITLE001,在职,CLIN022,,,DEP022
DOC0026,TITLE001,在职,CLIN013,,,DEP013
DOC0027,TITLE004,在职,CLIN022,,,DEP022
DOC0028,TITLE001,在职,CLIN010,,,DEP010
DOC0029,TITLE004,在职,CLIN011,,,DEP011
DOC0030,TITLE001,在职,CLIN008,,,DEP008
DOC0031,TITLE001,在职,CLIN017,,,DEP017
DOC0032,TITLE003,在职,CLIN012,,,DEP012
DOC0033,TITLE003,在职,CLIN014,,,DEP014
DOC0034,TITLE003,在职,CLIN011,,,DEP011
DOC0035,TITLE003,在职,CLIN010,,,DEP010
DOC0036,TITLE001,在职,CLIN009,,,DEP009
DOC0037,TITLE001,在职,CLIN010,,,DEP010
DOC0038,TITLE001,在职,CLIN022,,,DEP022
DOC0039,TITLE003,在职,CLIN006,,,DEP005
DOC0040,TITLE003,在职,CLIN013,,,DEP013
DOC0041,TITLE001,在职,CLIN009,,,DEP009
DOC0042,TITLE004,在职,CLIN008,,,DEP008
DOC0043,TITLE003,在职,CLIN011,,,DEP011
DOC0044,TITLE001,在职,CLIN019,,,DEP019
DOC0045,TITLE001,在职,CLIN005,,,DEP005
DOC0046,TITLE001,在职,CLIN010,,,DEP010
DOC0047,TITLE003,在职,CLIN016,,,DEP016
DOC0048,TITLE003,在职,CLIN006,,,DEP005
DOC0049,TITLE001,在职,CLIN012,,,DEP012
DOC0050,TITLE003,在职,CLIN010,,,DEP010
DOC0051,TITLE003,在职,CLIN010,,,DEP010
DOC0052,TITLE001,在职,CLIN005,,,DEP005
DOC0053,TITLE004,在职,CLIN022,,,DEP022
DOC0054,TITLE001,在职,CLIN016,,,DEP016
DOC0055,TITLE004,在职,CLIN013,,,DEP013
DOC0056,TITLE003,在职,CLIN006,,,DEP005
DOC0057,TITLE003,在职,CLIN010,,,DEP010
DOC0058,TITLE003,在职,CLIN017,,,DEP017
DOC0059,TITLE004,在职,CLIN013,,,DEP013
DOC0060,TITLE003,在职,CLIN011,,,DEP011
DOC0061,TITLE003,在职,CLIN022,,,DEP022
DOC0062,TITLE003,在职,CLIN010,,,DEP010
DOC0063,TITLE003,在职,CLIN010,,,DEP010
DOC0064,TITLE002,在职,CLIN006,,,DEP005
DOC0065,TITLE004,在职,CLIN005,,,DEP005
DOC0066,TITLE003,在职,CLIN008,,,DEP008
DOC0067,TITLE003,在职,CLIN012,,,DEP012
DOC0068,TITLE003,在职,CLIN022,,,DEP022
DOC0069,TITLE002,在职,CLIN017,,,DEP017
DOC0070,TITLE002,在职,CLIN013,,,DEP013
DOC0071,TITLE002,在职,CLIN013,,,DEP013
DOC0072,TITLE003,在职,CLIN013,,,DEP013
DOC0073,TITLE003,在职,CLIN011,,,DEP011
DOC0074,TITLE003,在职,CLIN010,,,DEP010
DOC0075,TITLE003,在职,CLIN007,,,DEP005
DOC0076,TITLE003,在职,CLIN011,,,DEP011
DOC0077,TITLE002,在职,CLIN021,,,DEP021
DOC0078,TITLE003,在职,CLIN022,,,DEP022
DOC0079,TITLE004,在职,CLIN011,,,DEP011
DOC0080,TITLE002,在职,CLIN016,,,DEP016
DOC0081,TITLE004,在职,CLIN021,,,DEP021
DOC0083,TITLE004,在职,CLIN022,,,DEP022
DOC0084,TITLE003,在职,CLIN017,,,DEP017
DOC0085,TITLE002,在职,CLIN010,,,DEP010
DOC0086,TITLE002,在职,CLIN016,,,DEP016
DOC0087,TITLE002,在职,CLIN018,,,DEP018
DOC0088,TITLE003,在职,CLIN010,,,DEP010
DOC0089,TITLE002,在职,CLIN017,,,DEP017
DOC0090,TITLE002,在职,CLIN012,,,DEP012
